sku_id,title,description,availability,condition,price,link,image_link,brand,gender,age_group,gtin,additional_image_link
OSFLRIF,Maestría en Dirección de Organizaciones Sin Fines de Lucro,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/OSFL/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/OSFL/V01-mdosfl-1080x1080-01.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/OSFL/V01-mdosfl-1080x1920-01.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/OSFL/V01-mdosfl-1200x628-01.png"
FINORIF,Maestria en Finanzas Online,Próxima reunión informativa: 09/04,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/Finanzas_Online/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/Finanzas%201080%20X%201080.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/Finanzas%201080%20X%201920.png,https://storage.googleapis.com/piezas_programas_udesa/Piezas%20UdeSA/Finanzas/Finanzas%201200%20X%20628.png"
EMBARIFV2,Executive MBA,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/EMBA_B/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA/EMBA%201080%20X%201080%20(1).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA/EMBA%201080%20X%201920.png,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA/EMBA%201200%20X%20628.png,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA%20B/V2%20EMBA%201080%20X%201920%20(2).png,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA%20B/V2%20EMBA%201200%20X%20628%20(2).png"
REMBARIFV2,Executive MBA Regional,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/EMBA_B/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA%20Regional/EMBAR%201080%20X%201080%20(3).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA%20Regional/EMBAR%201080%20X%201920%20(3).png,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBA%20Regional/EMBAR%201200%20X%20628%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBAR%20B/V2%20EMBAR%201080%20X%201920%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/V2/EMBAR%20B/V2%20EMBAR%201200%20X%20628%20(3).png"
MBAORIFV2,MBA,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBAO/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/MBAO/WhatsApp%20Image%202026-01-19%20at%205.21.54%20PM.jpeg,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/MBAO/WhatsApp%20Image%202026-01-19%20at%205.21.53%20PM.jpeg,https://storage.googleapis.com/piezas_programas_udesa/V2/MBAO/WhatsApp%20Image%202026-01-19%20at%205.21.53%20PM%20(1).jpeg"
MBASRIFV2,MBA Salud,,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBAS/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/MBA%20Salud/mba-salud-1080x1080-02%20(2).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/MBA%20Salud/mba-salud-1080x1920-02%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/V2/MBA%20Salud/mba-salud-1200x628-02%20(2).png"
MIMRIFV2,Master in Management,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MIB/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/MIM/MiM-1080x1080-02%20(1).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/MIM/MiM-1080x1920-02.png,https://storage.googleapis.com/piezas_programas_udesa/V2/MIM/MiM-1200x628-02%20(1).png"
MKTRIFV2,Maestría en Marketing y Comunicación,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MKT/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/MKT/mkt_1080x1080-02%20(1).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/MKT/mkt_1080x1920-02%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/V2/MKT/mkt_1200x628-02%20(1).png"
MNDRIFV2,Maestría en Negocios Digitales,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MND/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/MND/MND%202%201080%20X%201080%20(1).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/MND/MND%202%201080%20X%201920%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/V2/MND/MND%202%201200%20X%20628%20(1).png"
RRHHRIFV2,Maestría en Recursos Humanos,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/RRHH_B/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/RRHH/RRHH%202%201080%20X%201080.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/RRHH/RRHH%201800%20X%201920-2.png,https://storage.googleapis.com/piezas_programas_udesa/V2/RRHH/RRHH2%201200%20X%20628.png"
FLRIFV2,"Master in Corporate Governance, Finance & Law",Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/FL/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/FL/V02-MCGFL-1080x1080-02%20(1).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/FL/V02-MCGFL-1080x1920-02.png,https://storage.googleapis.com/piezas_programas_udesa/V2/FL/V02-MCGFL-1200x628-02%20(1).png"
FINRIFV2,Maestría en Finanzas,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/Finanzas/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/Finanzas/finanzas_1080x1080-02%20(2).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/Finanzas/finanzas_1080x1920-02%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/V2/Finanzas/finanzas_1200x628-02%20(2).png"
MBTRIFV2,Master in Business & Technology,Próxima reunión informativa: 26/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/MBT/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/MBT/_MBT2%201080%20x%201080-2.png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/MBT/_MBT2%201080%20X%201920.png,https://storage.googleapis.com/piezas_programas_udesa/V2/MBT/_MBT2%201200%20X%20628%20.png"
OSFLRIFV2,Maestría en Dirección de Organizaciones Sin Fines de Lucro,Próxima reunión informativa: 25/03,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/OSFL/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/OSFL/V02-campa%C3%B1a-mdosfl-1080x1080-02%20(2).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/OSFL/V02-campa%C3%B1a-mdosfl-1080x1920-02%20(2).png,https://storage.googleapis.com/piezas_programas_udesa/V2/OSFL/V02-campa%C3%B1a-mdosf-1200x628-02%20(2).png"
FINORIFV2,Maestria en Finanzas Online,Próxima reunión informativa: 09/04,in stock,new,10,https://www2.udesa.edu.ar/posgrados/edan/fa/Finanzas_Online/reunion.php,https://storage.googleapis.com/piezas_programas_udesa/V2/Finanzas%20Online/V08-finanzas-1080x1080-01%20(1).png,UdeSA,unisex,adult,,"https://storage.googleapis.com/piezas_programas_udesa/V2/Finanzas%20Online/V08-finanzas-1200x628-01%20(1).png,https://storage.googleapis.com/piezas_programas_udesa/V2/Finanzas%20Online/V08-finanzas-1080x1920-01.png"
